"","UMAP1","UMAP2","Group"
"S02236",3.37570451994862,2.45679163456316,"LCNEC"
"S02241",3.71118088784396,-0.536619215439326,"SCLC"
"S02242",3.45444321187113,-0.236781487773937,"SCLC"
"S02243",3.75985709631879,-0.599912169174351,"SCLC"
"S02249",3.16897103216137,-0.00454410448543063,"SCLC"
"S02259",1.94696397967917,0.460926604435017,"LCNEC"
"S02261",2.97873096716077,1.78663168562619,"LCNEC"
"S02264",2.744117861881,1.85599972095363,"LCNEC"
"S02265",2.81465031907325,1.92285949480711,"LCNEC"
"S02266",1.85069983691202,0.189590823340394,"LCNEC"
"S02267",1.89682914545416,0.291703277201045,"LCNEC"
"S02268",2.2532796820516,0.938455885404808,"LCNEC"
"S02269",3.34350584988185,2.19979139945592,"LCNEC"
"S02271",3.20488697436633,1.52794068269293,"LCNEC"
"S02272",2.58018761361519,1.02333238044721,"LCNEC"
"S02284",3.77175695141836,-0.342378536532684,"SCLC"
"S02285",3.64821546502323,-0.816905948075197,"SCLC"
"S02286",3.02564004264345,2.05058130772962,"SCLC"
"S02287",3.95998906338802,-0.327948135562517,"SCLC"
"S02288",3.32084157864996,2.35875116665324,"SCLC"
"S02289",3.74566282024505,-0.499119118596811,"SCLC"
"S02290",3.76658623829003,-0.0766622808983138,"SCLC"
"S02291",3.2943913796535,0.127274075977441,"SCLC"
"S02293",4.10549036388031,-0.337943067502641,"SCLC"
"S02294",4.11829914981058,-0.396881384390298,"SCLC"
"S02295",3.78266377473885,-0.649425365115906,"SCLC"
"S02296",3.23152122182865,2.35385787420061,"SCLC"
"S02297",1.6784286089979,11.7301138015682,"SCLC"
"S02298",3.23384890150004,1.55838821645352,"SCLC"
"S02299",2.77865982555408,0.449156765600486,"SCLC"
"S02322",3.74335590326289,-0.744528007892196,"SCLC"
"S02323",-2.73358996970087,2.90017293956961,"lung NETs Ca B"
"S02325",-2.55529040871794,3.3622542708988,"lung NETs Ca B"
"S02326",-10.0599025518346,-2.35356902406019,"lung NETs Ca A2"
"S02327",0.294750491718864,11.6054942434887,"lung NETs Ca A1"
"S02328",2.81408188067865,0.412428893559422,"SCLC"
"S02330",0.30207194660192,10.7544769305211,"lung NETs Ca A1"
"S02331",0.961208106429553,11.3898928773407,"lung NETs Ca A1"
"S02333",0.103321627328633,12.2155843295955,"lung NETs Ca A1"
"S02334",-10.0958528991998,-2.54007399752141,"lung NETs Ca A2"
"S02335",0.956408025850912,11.4800846283734,"lung NETs Ca A1"
"S02336",2.22331408562274,0.920705155701195,"LCNEC"
"S02337",-0.130349824790764,10.4066378031652,"lung NETs Ca A1"
"S02338",-10.0099725888461,-2.48546954677067,"lung NETs Ca A2"
"S02339",-9.02964860322399,-1.96172005176805,"lung NETs Ca A2"
"S02340",0.330420676478415,11.3967024376184,"lung NETs Ca A1"
"SRR10720229",1.18984311191614,10.7058844987919,"lung NETs supra-carcinoids"
"SRR7646258",2.28758641823577,1.38907470771922,"lung NETs supra-carcinoids"
"LNET10T",1.71071898500253,0.789781835896281,"lung NETs supra-carcinoids"
"LNET13T",1.09904477515926,11.9176268887825,"lung NETs Ca A1"
"LNET14T",1.13888297895477,11.4756592544804,"lung NETs Ca A1"
"LNET16T",1.09350860005322,10.8693130245757,"lung NETs supra-carcinoids"
